# arquivo_ll	user_tokens	assistant_tokens	total_tokens
extr_act_meta_skbtcindex.c_skbtcindex_check.ll	670	2095	2765
extr_addrconf_core.c_eafnosupport_ip6_del_rt.ll	728	2350	3078
extr_adm6996.c_adm6996_enable_vlan_6996l.ll	850	3199	4049
extr_adt7410.c_adt7410_i2c_write_word.ll	637	2094	2731
extr_adv7604.c_adv7604_setup_irqs.ll	539	1806	2345
extr_aes-neonbs-glue.c_ecb_decrypt.ll	586	2032	2618
extr_aes_ct.c_sub_word.ll	1021	2451	3472
extr_af9015.c_af9015_i2c_func.ll	621	1985	2606
extr_ahb.c_ath10k_ahb_get_num_banks.ll	778	3455	4233
extr_ai_chat.c_BotChatTime.ll	337	1164	1501
extr_ai_dmnet.c_AIEnter_Battle_Retreat.ll	727	3489	4216
extr_aic7xxx_pci.c_ahc_aha2940Pro_setup.ll	681	2335	3016
extr_al_eth.c_al_is_device_supported.ll	1192	6042	7234
extr_alloc-util.h_size_multiply_overflow.ll	551	2389	2940
extr_als300.c_snd_als300_free.ll	1066	3225	4291
extr_altera_jtag_uart_tty.c_aju_control_write.ll	728	2783	3511
extr_altera_sgdma.c_sgdma_tx_completions.ll	1097	3786	4883
extr_amd8111e.c_amd8111e_stop_chip.ll	770	3441	4211
extr_amdgpu_amdkfd_gfx_v10.c_kgd_address_watch_disable.ll	533	1696	2229
extr_amdgpu_ttm.h_amdgpu_ttm_tt_get_user_pages_done.ll	541	1779	2320
extr_amdsbwd.c_wdctrl_read.ll	546	1629	2175
extr_ampdu.c_brcms_c_ampdu_flush.ll	763	2579	3342
extr_ani.c_ath9k_hw_update_mibstats.ll	1700	4918	6618
extr_anim_encode.c_DisableKeyframes.ll	788	2370	3158
extr_aof.c_freeFakeClient.ll	883	2288	3171
extr_aops.c_gfs2_writepages.ll	695	2384	3079
extr_apei-base.c_apei_exec_write_register.ll	667	2063	2730
extr_apei-internal.h_apei_exec_run.ll	538	1648	2186
extr_apm_32.c_queue_empty.ll	761	2021	2782
extr_app_bt.c_make_cmd_ble_set_adv_param.ll	1374	7713	9087
extr_appletouch.c_atp_report_fingers.ll	952	3600	4552
extr_aquantia_main.c_aqr107_suspend.ll	757	2774	3531
extr_ar5210_misc.c_ar5210GetAckTimeout.ll	771	2757	3528
extr_ar5211_misc.c_ar5211GetCurRssi.ll	640	2109	2749
extr_ar9300_reset.c_ar9300_init_bb.ll	1437	5393	6830
extr_armada38x_pl310.c_mv_a38x_platform_pl310_init.ll	1361	5347	6708
extr_asb100.c_IN_FROM_REG.ll	362	1339	1701
extr_asix_devices.c_ax88772_unbind.ll	743	2235	2978
extr_aspm.c_aspm_exit.ll	547	1752	2299
extr_assem_x64.c_emit_cmphi.ll	512	1889	2401
extr_ast_post.c_mmc_test_single.ll	531	1612	2143
extr_athrd.c_usage.ll	461	2138	2599
extr_atmel-aes.c_atmel_aes_gcm_decrypt.ll	538	1803	2341
extr_atmel-aes.c_atmel_aes_gcm_encrypt.ll	608	2261	2869
extr_atmel.c_atmel_clear_gcr.ll	746	3261	4007
extr_audio_in.c_audio_enable_agc.ll	808	2276	3084
extr_auxtrace.c_parse_action.ll	1768	5202	6970
extr_aw_if_dwc.c_a20_if_dwc_probe.ll	882	3972	4854
extr_aw_machdep.c_a13_attach.ll	574	2542	3116
extr_ax25_std_timer.c_ax25_std_t3timer_expiry.ll	721	2606	3327
extr_axisang.h_axisang_set.ll	731	1652	2383
extr_base.c_proc_tgid_base_lookup.ll	891	3039	3930
extr_bcm7xxx.c_bcm7xxx_28nm_d0_afe_config_init.ll	1767	6871	8638
extr_bcode.c_normalize.ll	642	2229	2871
extr_be.h_be_multi_rxq.ll	577	1582	2159
extr_benchmark-procfile-parser.c_pflines_reset.ll	466	1672	2138
extr_bfa_svc.c_bfa_fcport_start.ll	660	2219	2879
extr_bh1770glc.c_bh1770_get_corr_value.ll	1281	3864	5145
extr_bhnd_ehci.c_bhnd_ehci_post_reset.ll	906	3292	4198
extr_blake2_cryptodev.c_blake2_probe.ll	405	1978	2383
extr_blk-sysfs.c_queue_logical_block_size_show.ll	620	2180	2800
extr_blk.h_blk_should_fake_timeout.ll	510	1600	2110
extr_bmac.c_bmac_init_chip.ll	559	1770	2329
extr_bn_intern.c_bn_get_top.ll	522	1372	1894
extr_bnx2x_cmn.h_bnx2x_fp_qzone_id.ll	1000	3401	4401
extr_bnx2x_dcb.c_bnx2x_dcbx_add_to_cos_bw.ll	873	3476	4349
extr_bnx2x_ethtool.c_bnx2x_enable_nvram_access.ll	982	3553	4535
extr_bnx2x_link.c_bnx2x_8706_read_status.ll	781	2331	3112
extr_bnx2x_sriov.h_bnx2x_enable_sriov.ll	526	1512	2038
extr_bsops.c_bs_set_clip.ll	568	2722	3290
extr_bt87x.c_snd_bt87x_free.ll	1319	3190	4509
extr_btf.c_btf_verifier_env_free.ll	582	1855	2437
extr_btmutex.c_sqlite3BtreeEnterAll.ll	601	2079	2680
extr_btree.c_nilfs_btree_node_get_flags.ll	545	1631	2176
extr_btree.c_nilfs_btree_node_set_nchildren.ll	564	2019	2583
extr_bufferevent_openssl.c_set_rbow.ll	760	2285	3045
extr_builtin-timechart.c_process_exit_read.ll	1029	3973	5002
extr_bw-qcam.c_write_lpdata.ll	543	1749	2292
extr_bxe_elink.c_elink_e3b0_sp_get_pri_cli_reg_nig.ll	468	2293	2761
extr_c101.c_openwin.ll	701	2567	3268
extr_cacheinfo.c_cache_leaves_are_shared.ll	591	1755	2346
extr_cadence_wdt.c_cdns_wdt_writereg.ll	582	2176	2758
extr_callchain.h_callchain_cumul_counts.ll	650	1732	2382
extr_callchain.h_callchain_cumul_hits.ll	735	1983	2718
extr_camss-vfe-4-7.c_vfe_wm_set_pong_addr.ll	694	2554	3248
extr_cc_fips.h_cc_fips_init.ll	511	1363	1874
extr_ccid.c_ccid_kmem_cache_destroy.ll	509	1564	2073
extr_ccidslibpacket_history.h_tfrc_rx_hist_loss_pending.ll	609	2140	2749
extr_cedrus_hw.c_cedrus_hw_remove.ll	1153	2964	4117
extr_cfg.c_is_jmp_insn.ll	626	3002	3628
extr_cg_syscalls.c_trap_R_LoadWorldMap.ll	440	1984	2424
extr_cg_syscalls.c_trap_R_inPVS.ll	438	1808	2246
extr_charmap.c_add_charmap.ll	378	1470	1848
extr_checkbox.c_uiCheckboxSetText.ll	625	2063	2688
extr_cipher.c_ahash_hmac_finup.ll	649	2504	3153
extr_cirrus.c_wreg_gfx.ll	728	3435	4163
extr_client.c_gdb_client_unlock.ll	419	1854	2273
extr_client.c_nfs_sockaddr_match_ipaddr6.ll	526	1562	2088
extr_clk.c_clknode_method_init.ll	505	1488	1993
extr_clk.c_clknode_method_set_mux.ll	513	1518	2031
extr_cluster.c_clusterBroadcastDelJob.ll	1075	4688	5763
extr_cmi8328.c_snd_cmi8328_cfg_read.ll	516	2495	3011
extr_codec_mpeg12.c_codec_mpeg12_recycle.ll	620	2439	3059
extr_common.c_h2o_http3_num_connections.ll	716	2010	2726
extr_common.h_dra7xx_pciess_reset.ll	510	1574	2084
extr_common.h_il_enable_rfkill_int.ll	652	2365	3017
extr_compiler.c_tr_GR0_to_r0.ll	357	1418	1775
extr_connect.c_cifs_set_vol_auth.ll	841	3120	3961
extr_connect.c_server_feature_value.ll	463	2273	2736
extr_connection.c_rds_conn_create_outgoing.ll	938	3014	3952
extr_console.c_rs_write_room.ll	499	1432	1931
extr_container.c_container_is_scratchpad_hidden.ll	785	2291	3076
extr_core.c_nfit_spa_is_volatile.ll	1003	4203	5206
extr_core.c_perf_event_overflow.ll	742	2216	2958
extr_core.h_dwc2_restore_device_registers.ll	530	1707	2237
extr_core.h_emac_rx_sync_size.ll	483	2364	2847
extr_corec37d.c_corec37d_ntfy_init.ll	762	2545	3307
extr_corgi_lcd.c_lcdtg_set_common_voltage.ll	1004	3139	4143
extr_cpcht.c_cpcht_route_interrupt.ll	344	1263	1607
extr_cpia.c_valid_mode.ll	2153	10248	12401
extr_cptpf_mbox.c_cpt_send_msg_to_vf.ll	1020	3231	4251
extr_cpufreq-dt.c_cpufreq_online.ll	506	1527	2033
extr_cpumask.c_cpumask_next_and.ll	860	2960	3820
extr_cpuset.c_cpuset_change_flag.ll	710	2263	2973
extr_cputest.c_cputest_force_flags.ll	418	1950	2368
extr_cq.c_mlx4_start_poll.ll	651	1767	2418
extr_cq.c_mlx5_end_poll_stall_lock.ll	614	2230	2844
extr_cqhci.c_cqhci_tasks_cleared.ll	742	2642	3384
extr_cryptosoft.c_swcr_probe.ll	465	2402	2867
extr_cs.c_pcmcia_socket_dev_suspend.ll	583	2247	2830
extr_ctree.h_btrfs_acl_chmod.ll	510	1422	1932
extr_ctree.h_btrfs_file_extent_inline_item_len.ll	749	3075	3824
extr_curve25519.c_ge_msub.ll	2163	4413	6576
extr_cvmx-fau.h_cvmx_fau_fetch_and_add16.ll	483	1971	2454
extr_cx18-io.h_cx18_read_enc.ll	569	1879	2448
extr_cx18-io.h_cx18_write_reg.ll	579	2023	2602
extr_cx231xx-avcore.c_stopAudioFirmware.ll	600	2191	2791
extr_cx2341x.c_cx2341x_handler_set_busy.ll	1570	3171	4741
extr_dat.c_nilfs_dat_prepare_start.ll	785	2870	3655
extr_date.c_iso8601_usage.ll	419	2031	2450
extr_dc.c_MFDRV_AbortPath.ll	392	1519	1911
extr_dcamath.h_clip23.ll	350	1262	1612
extr_dce_link_encoder.c_configure_encoder.ll	1091	4911	6002
extr_dce_link_encoder.c_set_dp_phy_pattern_prbs7.ll	961	4023	4984
extr_dcn20_clk_mgr.c_dentist_get_did_from_divider.ll	2407	10608	13015
extr_debug.c__NgDebugSockaddr.ll	813	2688	3501
extr_debugfs.c_qsfp1_debugfs_release.ll	636	1955	2591
extr_defs.h_wpa_key_mgmt_cckm.ll	498	1810	2308
extr_dev-ioctl.c_autofs_dev_ioctl_catatonic.ll	769	2303	3072
extr_devfs_tree.c_devfs_ref_node.ll	559	1614	2173
extr_dir.c_need_send_readdir.ll	1158	3363	4521
extr_disassembler.c_arm_parallel_addsub_signed.ll	909	4283	5192
extr_dlmdebug.h_dlm_debug_init.ll	506	1448	1954
extr_dm-cache-target.c_cblock_succ.ll	416	1577	1993
extr_dm-thin.c_process_bio_success.ll	615	1834	2449
extr_dm355_ccdc.c_regw.ll	420	2100	2520
extr_dma.c_s3c24xx_dma_check_entry.ll	536	1636	2172
extr_dmi-sysfs.c_dmi_sysfs_entry_position.ll	628	2482	3110
extr_dnet.c_dnet_writew_mac.ll	804	3177	3981
extr_dnodeMgmt.spec.c_vnodeSaveCreateMsgIntoQueue.ll	379	1500	1879
extr_dns_resolve.c_nfs4_dns_net_init.ll	529	1655	2184
extr_driver_chipcommon_pmu.c_bcma_chipco_regctl_maskset.ll	929	3390	4319
extr_driver_gige.c_gige_read8.ll	549	1574	2123
extr_driver_mips.c_mips_write32.ll	569	1891	2460
extr_drm_bufs.c_drm_rmmap.ll	731	2221	2952
extr_drm_hashtab.c_drm_ht_remove_item.ll	680	2334	3014
extr_dsa_lib.c_DSA_security_bits.ll	1029	2923	3952
extr_dsa_lib.c_DSA_set_flags.ll	562	1526	2088
extr_dsi.xml.h_REG_DSI_28nm_PHY_LN_CFG_1.ll	422	1449	1871
extr_dsi_host.c_dsi_op_mode_config.ll	1907	6714	8621
extr_dstr.c_dstr_disconnect.ll	735	1839	2574
extr_dstr.h_dstr_move.ll	553	1746	2299
extr_dvb_net.c_ule_test_sndu.ll	511	1434	1945
extr_dvd.c___dvd_mountsynccb.ll	408	1828	2236
extr_dwmac-sun8i.c_sun8i_dwmac_unpower_internal_phy.ll	951	2839	3790
extr_eap_server_aka.c_eap_aka_state.ll	772	3493	4265
extr_echoaudio.h_px_digital_in.ll	590	1856	2446
extr_ecp_smpl.c_ec_GFp_simple_group_clear_finish.ll	790	2235	3025
extr_ecp_smpl.c_ec_GFp_simple_point_copy.ll	1477	3149	4626
extr_ecp_smpl.c_ec_GFp_simple_point_finish.ll	778	2106	2884
extr_ed.c_pr_forward_ed_script.ll	613	2369	2982
extr_edac_device_sysfs.c_edac_device_ctl_panic_on_ue_show.ll	665	2606	3271
extr_ef10.c_efx_ef10_vlan_rx_kill_vid.ll	892	3081	3973
extr_ehca_reqs.c_get_app_wr_id.ll	445	1746	2191
extr_elf32-score.c__bfd_score_elf_ignore_discarded_relocs.ll	722	3393	4115
extr_emulate.c_emulate_db.ll	581	2194	2775
extr_emupcm.c_snd_emu10k1_pcm_efx_mixer_notify.ll	1027	2713	3740
extr_en_main.c_mlx5e_destroy_rqt.ll	799	2111	2910
extr_en_tx.c_mlx5e_skb_l3_header_offset.ll	816	2584	3400
extr_encode.c_EVP_ENCODE_CTX_num.ll	533	1550	2083
extr_entropy_common.c_FSE_isError.ll	349	1288	1637
extr_epub-doc.c_epub_recognize.ll	686	3041	3727
extr_equalfuncs.c__equalAStar.ll	333	1261	1594
extr_equalfuncs.c__equalFetchStmt.ll	636	2914	3550
extr_equalfuncs.c__equalFromExpr.ll	462	2214	2676
extr_espconn_buf.c_ringbuf_is_full.ll	554	1915	2469
extr_event.c_event_base_assert_ok_.ll	729	2826	3555
extr_event.c_event_init.ll	610	2564	3174
extr_event_tagging.c_evtag_marshal_int.ll	929	3145	4074
extr_evp_extra_test.c_pkey_custom_pub_check.ll	350	1429	1779
extr_evp_lib.c_EVP_MD_meth_set_result_size.ll	706	1972	2678
extr_exec.c_copy_strings.ll	521	2070	2591
extr_f2fs.h_f2fs_cp_error.ll	578	1962	2540
extr_f71805f.c_fan_from_reg.ll	551	1920	2471
extr_falcon_boards.c_ef4_check_lm87.ll	521	1409	1930
extr_farch.c_ef4_farch_irq_test_generate.ll	553	2007	2560
extr_fbmon.c_fb_get_mode.ll	706	2158	2864
extr_ff.c_clust2sect.ll	906	2148	3054
extr_ffplay.c_sigterm_handler.ll	324	1410	1734
extr_fifo_icap.c_fifo_icap_fifo_read.ll	859	3547	4406
extr_file.c_isc_file_truncate.ll	642	2267	2909
extr_firestream.c_write_fs.ll	567	1995	2562
extr_flexcop-hw-filter.c_flexcop_null_filter_ctrl.ll	656	2753	3409
extr_flexcop-i2c.c_flexcop_i2c_func.ll	614	1901	2515
extr_fman_dtsec.c_fman_dtsec_defconfig.ll	5148	20116	25264
extr_fourcc.c_vlc_fourcc_GetYUVFallback.ll	503	2221	2724
extr_framing.c_ogg_stream_reset_serialno.ll	587	2346	2933
extr_freezer.c_thaw_process.ll	781	2234	3015
extr_fs.c_sys_chown32.ll	450	2249	2699
extr_fts2.c_clearTableSpec.ll	769	1985	2754
extr_futils.c_git_futils_creat_locked_withpath.ll	618	2285	2903
extr_g12a-tohdmitx.c_g12a_tohdmitx_input_remove.ll	581	1814	2395
extr_g_target.c_Think_Target_Delay.ll	531	1738	2269
extr_gcc_4_7.c_gcov_info_is_compatible.ll	618	2227	2845
extr_gdbstub.c_gdb_cmd_memwrite.ll	849	2986	3835
extr_gemini.c_gmac_tx_timeout.ll	611	2234	2845
extr_gfx_v10_0.c_gfx_v10_0_ring_emit_sb.ll	722	2587	3309
extr_gfx_v6_0.c_gfx_v6_0_select_me_pipe_q.ll	609	2268	2877
extr_ggated.c_connection_ready.ll	782	1980	2762
extr_gic.c_arm_gic_post_ithread.ll	600	2171	2771
extr_gl860-mi1320.c_mi1320_init_post_alt.ll	553	1784	2337
extr_globals.c_xmlThrDefBufferAllocScheme.ll	596	3060	3656
extr_gmc_v6_0.c_gmc_v6_0_set_fault_enable_default.ll	1815	7445	9260
extr_gpart_ops.c_scheme_supports_labels.ll	653	2868	3521
extr_gpio-104-idi-48.c_idi_48_gpio_get_direction.ll	545	1675	2220
extr_gpio.c_gpio_is_valid.ll	730	2504	3234
extr_gpu_old.c_GPU_DrawArray.ll	1583	6992	8575
extr_gx.c_GX_SetClipMode.ll	376	1411	1787
extr_hal.c_dim_on_error.ll	390	1309	1699
extr_halffloat.c_npy_half_lt.ll	695	2363	3058
extr_hda_generic.c___init_extra_out.ll	802	2454	3256
extr_hdac_sysfs.c_hda_widget_sysfs_exit.ll	513	1693	2206
extr_hdlc_x25.c_x25_close.ll	502	1463	1965
extr_hiredis.c_redisFreeSdsCommand.ll	332	1401	1733
extr_hisi-sfc.c_hisi_spi_nor_init.ll	1043	4607	5650
extr_hn_nvs.c_hn_nvs_send_rndis_ctrl.ll	896	3016	3912
extr_hnae.c_hnae_free_buffers.ll	749	2752	3501
extr_hns_roce_hem.c_hem_list_free_item.ll	1120	3390	4510
extr_hns_roce_hw_v1.c_hns_roce_set_db_ext_mode.ll	1236	4338	5574
extr_hpdf_fontdef_cns.c_SimSun_Bold_Init.ll	706	3138	3844
extr_hpdf_fontdef_cnt.c_MingLiU_Bold_Init.ll	709	3293	4002
extr_hpdf_fontdef_kr.c_DotumChe_Bold_Init.ll	709	3309	4018
extr_hpt27xx_osm_bsd.c_hpt_open.ll	635	1547	2182
extr_http.c_evhttp_connection_set_ext_method_cmp.ll	483	1769	2252
extr_http.c_evhttp_request_get_response_code.ll	537	1775	2312
extr_hub.h_hub_port_debounce_be_stable.ll	551	1816	2367
extr_huf_compress.c_HUF_optimalTableLog.ll	434	1764	2198
extr_hugetlb_cgroup.c_hugetlb_cgroup_from_task.ll	798	2700	3498
extr_hw-me.c_mei_hcsr_set.ll	623	2028	2651
extr_hw_atl_llh.c_hw_atl_tps_tx_pkt_shed_tc_data_weight_set.ll	943	3747	4690
extr_i2400m.h_i2400m_pld_size.ll	673	2210	2883
extr_i2c-davinci.c_terminate_write.ll	1264	4547	5811
extr_i2c-designware-core.h_i2c_dw_probe_lock_support.ll	535	1675	2210
extr_i2c-pxa.c_i2c_pxa_start_message.ll	1259	4337	5596
extr_i2c-stub.c_stub_func.ll	937	3238	4175
extr_i2c-wmt.c_wmt_i2c_func.ll	807	2634	3441
extr_i2c.c_snd_i2c_bit_start.ll	784	2530	3314
extr_i386-nto-tdep.c_i386nto_sigcontext_addr.ll	832	3723	4555
extr_i386.c_constant_address_p.ll	616	2604	3220
extr_i915_oa_cflgt3.c_show_test_oa_id.ll	712	2450	3162
extr_ibmveth.c_ibmveth_rxq_buffer_valid.ll	613	2296	2909
extr_iconv_compat.c_iconv_close_compat.ll	352	1455	1807
extr_id.c_svn_fs_fs__id_txn_reset.ll	723	2231	2954
extr_idmap.h_nfsd_idmap_init.ll	505	1429	1934
extr_idmouse.c_idmouse_suspend.ll	508	1499	2007
extr_idset.c_idset_clear.ll	803	2075	2878
extr_idt77252.c_fill_scd.ll	997	3219	4216
extr_ieee1394_transactions.c_fill_async_readquad.ll	849	2707	3556
extr_if_ath_btcoex.c_ath_btcoex_enable.ll	764	2482	3246
extr_if_atse.c_pxx_read_2.ll	1015	4042	5057
extr_if_bwn_phy_lp.c_bwn_phy_lp_write.ll	698	2596	3294
extr_if_bwn_phy_n_core.c_bwn_radio_2057_init.ll	681	2297	2978
extr_if_cas.c_cas_disable_rx.ll	1671	6422	8093
extr_if_iwm_led.c_iwm_mvm_led_is_enabled.ll	731	3087	3818
extr_if_iwm_pcie_trans.c_iwm_set_pwr.ll	879	3271	4150
extr_if_spi.c_spu_transaction_init.ll	742	2752	3494
extr_if_vtbe.c_pio_enable_irq.ll	1150	3170	4320
extr_if_vxlan.c_vxlan_ftable_entry_free.ll	574	2036	2610
extr_if_wpi.c_wpi_nic_lock.ll	1518	5568	7086
extr_igb_main.c_igb_open.ll	511	1428	1939
extr_ilclient.c_ilclient_get_handle.ll	519	1669	2188
extr_imx-dma.c_is_imx27_dma.ll	662	2505	3167
extr_imx6_anatop.c_imx6_anatop_probe.ll	882	4186	5068
extr_imx7-media-csi.c_imx7_csi_hw_disable_irq.ll	1168	4692	5860
extr_indexfsm.c_RecordFreeIndexPage.ll	422	2294	2716
extr_industrialio-buffer.c_iio_device_attach_buffer.ll	653	2199	2852
extr_infrosget.c_InfGetBinaryField.ll	469	1855	2324
extr_inode.c_fat_writepage.ll	678	2321	2999
extr_inode.c_isofs_readpage.ll	681	2172	2853
extr_inode.c_minix_prepare_chunk.ll	603	2149	2752
extr_inode.c_qnx6_free_inode.ll	645	2252	2897
extr_inode.c_sysv_sync_inode.ll	521	1663	2184
extr_inode.c_udf_bmap.ll	580	2073	2653
extr_inode.h_gfs2_is_stuffed.ll	584	1600	2184
extr_intel8x0m.c_iputword.ll	568	1928	2496
extr_intel_cdclk.c_bxt_calc_voltage_level.ll	380	1603	1983
extr_intel_color.c_icl_color_check.ll	875	2380	3255
extr_intel_display_power.c_i830_pipes_power_well_enabled.ll	1146	3529	4675
extr_intel_pm.c___gen6_gt_force_wake_mt_put.ll	908	3551	4459
extr_internal.h___iwl_trans_pcie_set_bit.ll	570	1911	2481
extr_io.c_omap_readw.ll	402	1394	1796
extr_ip6_tunnel.c_ip6_tnl_change_mtu.ll	834	2521	3355
extr_ip_set_bitmap_ipmac.c_bitmap_ipmac_exist.ll	970	3893	4863
extr_ipc_tt.c_convert_task_inspect_to_port.ll	400	1948	2348
extr_ipmi_si_mem_io.c_mem_cleanup.ll	769	2305	3074
extr_ipvlan.h_ipvlan_mark_private.ll	647	2198	2845
extr_ipw2200.c_ipw_stop_master.ll	1361	5386	6747
extr_iso9660.c_unsetenv.ll	345	1064	1409
extr_isp1301_omap.c_isp1301_get_u8.ll	586	1883	2469
extr_isph3a_af.c_h3a_af_enable.ll	1369	4361	5730
extr_ispstat.c_omap3isp_stat_unsubscribe_event.ll	764	2502	3266
extr_iswctype.c_iswphonogram.ll	394	1744	2138
extr_itree_v2.c_V2_minix_get_block.ll	662	1732	2394
extr_iwarp.h___mpa_rr_revision.ll	456	1970	2426
extr_iwcm.c_iw_destroy_cm_id.ll	504	1457	1961
extr_iwl-drv.c_validate_sec_sizes.ll	3935	15450	19385
extr_iwl-eeprom-read.c_iwl_set_otp_access_absolute.ll	818	3110	3928
extr_ixgbe_dcb_nl.c_ixgbe_dcbnl_setnumtcs.ll	626	1984	2610
extr_ixgbe_x550.c_ixgbe_write_i2c_combined_generic_unlocked.ll	628	2321	2949
extr_jit.c_jne_reg.ll	742	2446	3188
extr_jz4725b_bch.c_jz4725b_bch_config_clear.ll	652	2844	3496
extr_kern_aio.c_aio_workq_unlock.ll	419	1601	2020
extr_kern_conf.c_make_dev_args_init_impl.ll	540	1881	2421
extr_keymap.c_layer_state_set_user.ll	513	2580	3093
extr_keymap.c_persistant_default_layer_set.ll	415	1823	2238
extr_keymap.c_persistent_default_layer_set.ll	415	1823	2238
extr_klist.c_klist_add_tail.ll	665	1939	2604
extr_ks8842.c_ks8842_clear_bits.ll	814	2771	3585
extr_ks8851_mll.c_ks_start_rx.ll	758	2589	3347
extr_kuhl_m_privilege.c_kuhl_m_privilege_sysenv.ll	456	2072	2528
extr_kuhl_m_sekurlsa_nt5.c_kuhl_m_sekurlsa_nt5_isOld.ll	871	3507	4378
extr_kv_smc.c_amdgpu_kv_smc_dpm_enable.ll	789	2992	3781
extr_kvm_main.c_kvm_release_page_dirty.ll	577	1846	2423
extr_kvm_minidump_aarch64.c__aarch64_entry_to_prot.ll	871	4070	4941
extr_lan743x_ethtool.c_lan743x_otp_power_down.ll	940	3420	4360
extr_lan743x_main.c_lan743x_phy_reset.ll	1288	5197	6485
extr_language.c_unk_lang_demangle.ll	386	1476	1862
extr_lcd_omap3beagle.c_omap3beagle_panel_disable.ll	622	2378	3000
extr_lcd_osk.c_osk_panel_disable.ll	771	2850	3621
extr_lcode.c_discharge2anyreg.ll	890	3398	4288
extr_led_matrix.c_decrement.ll	429	1746	2175
extr_leds-lm3533.c_show_risetime.ll	766	2592	3358
extr_leds-lp55xx-common.c_lp55xx_write.ll	596	2013	2609
extr_leds.h_led_get_brightness.ll	536	1551	2087
extr_lgdt330x.c_lgdt330x_get_tune_settings.ll	864	2328	3192
extr_libata-core.c_ata_cable_80wire.ll	600	1982	2582
extr_libipw.h_libipw_get_scans.ll	536	1478	2014
extr_linux_hrtimer.c_linux_hrtimer_start.ll	536	1882	2418
extr_linux_misc.c_linux_msync.ll	928	2703	3631
extr_listview.c_textfreeT.ll	526	1872	2398
extr_llc_station.c_llc_station_rcv.ll	989	3061	4050
extr_lm90.c_temp_from_u8.ll	349	1361	1710
extr_lmedm04.c_lme2510_get_rc_config.ll	767	2411	3178
extr_localtime.c_init_ttinfo.ll	810	1685	2495
extr_locks.c_locks_conflict.ll	794	2809	3603
extr_lstate.c_luaE_setdebt.ll	1006	3903	4909
extr_lz4io.c_LZ4IO_setBlockMode.ll	682	2574	3256
extr_m_menu.c_M_DrawEmptyCell.ll	1034	4689	5723
extr_mac.c_mt7603_wtbl4_addr.ll	546	2780	3326
extr_mac_pipe.c_mac_pipe_label_free.ll	615	2380	2995
extr_mac_pipe.c_mac_pipe_label_update.ll	927	3025	3952
extr_mac_system.c_mac_system_check_swapoff.ll	974	3808	4782
extr_mac_sysv_msg.c_mac_sysvmsq_label_associate.ll	649	2304	2953
extr_mac_sysv_sem.c_mac_sysvsem_check_semctl.ll	923	3233	4156
extr_mac_sysv_shm.c_mac_sysvshm_check_shmat.ll	948	3251	4199
extr_mac_test.c_test_posixsem_destroy_label.ll	702	2659	3361
extr_mac_vfs.c_mac_devfs_create_symlink.ll	906	3241	4147
extr_mac_vfs.c_mac_vnode_check_setowner.ll	1044	4345	5389
extr_mach-tl-wr1043nd.c_tl_wr1043nd_rtl8366rb_hw_reset.ll	860	2904	3764
extr_macro.lex.yy.c_yyset_lineno.ll	392	1646	2038
extr_maestro3.c_m3_uninit.ll	603	2399	3002
extr_magician.c_magician_backlight_exit.ll	628	2256	2884
extr_main.c_mlx4_close_hca.ll	927	2705	3632
extr_main.c_mlx5_ib_stage_counters_cleanup.ll	771	2818	3589
